rl,E_relaxed
3.03993899561,-13762.841936706
3.89510900511,-9651.39817942079
3.33452430601,-8565.73460945893
3.57508184793,-11237.6759056322
4.59371179526,-13610.7210325178
3.72898923902,-11739.5213368221
2.91879650541,-12863.2909298937
3.2627323062,-12399.4613729228
4.22413105739,-14595.8273459344
3.55148505617,-12165.436655594
7.80080641844,-8189.44838215172
3.8467870778,-11723.3200362187
6.47664014732,-13312.090896431
4.84510480008,-10347.2834760684
2.84104719554,-12184.6831013988
3.47978678699,-8800.51015415533
7.68407138037,-12003.9209928385
4.96445580921,-15904.3159637197
3.17721973945,-14635.6731801863
3.16017328357,-11162.463886331
2.68916879417,-20616.403409848
3.69172561699,-12990.4033757473
4.21639052216,-9079.87753129505
2.99329899423,-12410.8200237407
2.68643392,-11309.1390720128
3.16700925049,-9569.35549119406
4.093366894,-8749.431731096
4.6206933398,-11065.5001944553
3.87355397855,-13528.2234145266
3.3506465669,-10001.2961591314
3.21512957984,-9763.86197899597
4.78416830415,8358799.31593473
4.22074257665,-12602.5906016265
2.87171442386,-11170.6356706217
8.01886281757,-10358.5764632322
3.98064473599,-11170.0548954097
3.34919587057,-15481.2041228649
7.26955911554,-10047.2213482532
6.90970136493,-9705.43719448603
3.74500885623,-12917.0368685488
7.98298452223,-12159.2836002119
4.64302074795,-9032.87413890535
8.10778119737,-11692.7557698761
4.60716521967,-7483.44848287394
4.11872235449,-9964.21583668851
4.43708443014,-13562.8236537775
3.74493217002,-11329.2498283576
3.50986537507,-9075.70764795792
4.98464254013,-12218.4034133316
7.98545899101,350595.092540433
2.98636015065,-10378.9997692494
3.04943125675,-10350.6590511021
5.62873656047,-8586.00860492934
5.41759885964,-14514.965166994
4.07301427367,-13807.3845659832
4.03949417534,-11462.0912938751
3.06737971959,-16940.0746870834
4.31552386062,-15836.3979086664
3.11555132191,-11124.3941415358
4.34009268185,-6061.50387412205
4.70764195027,90291.0328995111
5.27959592345,-10384.4644733101
2.95815039833,-14766.3267400122
3.58883301942,-14614.0619660032
7.50169762438,-13427.9757637349
4.38992859139,-11934.5001647213
3.25154574779,-12073.3832901269
4.49113865007,-9444.53028161379
4.19195329564,-16906.9840748862
5.82435468087,370.121529584929
2.87781574498,-11714.8401393521
4.27090686302,-13569.0599151623
3.98104871327,-12389.9883073941
3.721063575,-11075.6598167523
3.51481361629,-9797.58974033888
7.52401193614,-13148.1150281543
3.87879617118,-11889.3934337605
3.11949263828,545064515.37616
2.97454506143,-17349.4134351869
3.28626298339,-10910.3212682947
2.88885330065,-14514.9188102109
4.29446408748,-9420.17331573711
4.08964362893,-14749.9307981274
3.51018317897,-14511.4882187616
4.60083154516,-11837.5891445252
4.53627822378,-8622.70202699345
4.7890815736,-12553.9310210481
3.16527591568,-15228.2037662704
4.28988300195,-13438.400250504
3.42763667788,-12653.1095453648
8.26804250452,-11364.6990644564
3.14382680911,-9238.50745393555
4.46167094611,-13770.2240881037
2.93217192052,-14737.2526347106
4.32669110595,-10097.3990482558
3.90959464771,-13096.3982268345
3.16136840106,61101182.861033
3.46137721552,-11715.0248170405
3.62220800972,-14501.1504299039
3.38852078979,-13226.8120672048
2.99730326157,-11188.8734376059
3.01668702075,195111690.474892
3.06635225306,-4830.33118251367
4.71741850384,157631.435455244
5.12640295486,-8822.77866573559
3.91395078516,-11347.2161621916
5.73965711889,-10879.0496208685
2.79248223842,-12277.7082484069
7.75512757796,-12917.2428774668
3.15445309875,-12568.4612310989
3.96980491686,-11432.220608115
3.73358919252,-13327.149363664
3.08606064136,-13386.7123538436
3.12629897646,-15468.286075007
3.2677236444,-10245.3596178691
4.35982647238,-8998.99558879786
3.67665846042,-15641.9120097204
3.82056909992,-12529.5687811059
3.9081378319,-10568.92448549
4.62693331034,-14945.4347649806
3.67842772814,-15340.5898798291
3.18680167649,-12432.0317244959
4.437169754,-11686.8575900375
3.85605811342,-18142.038141246
4.13620796166,-13065.9498719515
7.50271415297,-16360.6275767685
3.23198546782,-11754.0134124207
3.75355325627,-9927.34939101282
4.40260795677,-11711.7401836335
7.97000545786,-10603.2893392694
4.79216965255,-14157.039717821
6.75452958809,-7613.36126880519
3.48396330485,-8530.60249683238
7.60618171818,-13158.7249635131
4.1391901194,-10947.1690119308
3.47959312654,184808751.166579
3.58826424927,-10163.6066304412
4.02281204753,-9991.53884811407
2.6188667242,-10891.9882258448
3.07306462202,-13299.3224586407
5.3046611469,-12523.7182466214
3.61047500845,-12647.9855426268
5.301448742,-7499.176463521991
3.03431499483,-7341.48000962266
7.74431702952,-8369.33510569289
3.92350253647,-12729.3834211841
3.99260634085,-11118.7960749255
6.19476816379,-12860.5879938965
3.23182029496,4661199.24542921
2.93981396841,-12729.1179970703
5.61946093648,-14050.6678733287
3.17194141979,-13790.0926827929
3.46877201354,-9503.75380855287
3.28983252605,-10108.1695937421
5.95845802276,9.18440891818068e+17
3.91365512619,-10377.0060096788
8.33725284102,-8625.08714883741
3.19944600969,-13462.3543208896
4.10599358702,-17480.0922751442
3.38234357385,-10380.5934895746
3.94504793423,-10701.5450032666
3.70362071709,-13318.5863315248
3.07082344823,-12735.9899963108
2.98747480004,-11364.9470061796
5.17818653126,-10888.7197478355
3.55812160676,-8565.69692534219
3.97271355515,-9824.77112285517
4.11414167584,-12223.5483224902
3.67151376283,-8963.94036320822
6.7467723139,-9704.9572768314
8.07902952514,-14757.8063231758
7.9575984086,-10954.2095132157
3.54704163364,538833781.898626
3.90549142058,-7910.53543951021
3.85410455241,-10496.2015436427
4.23214364234,-8696.71969602691
3.70956510239,-10112.7963306144
3.59214081609,-13671.7607458769
4.22450010887,-13658.7472910239
3.61393781288,-14792.9704121961
5.37968444524,-11431.5319544645
3.60829460444,-8995.50123638939
2.82526151089,-13349.734895316
2.58073538008,-15863.9496668762
3.9719095568,-9825.41360941428
3.35571414544,-10884.9030558243
2.45145475587,-10696.4768606788
4.2239863751,-11576.8996161857
3.41906251061,-11514.1081687604
4.45476129571,-13418.7617480726
5.52384021572,-8875.6640439269
7.59010598557,-9066.74382501812
4.58649742339,-9779.75448684238
3.77140690066,-13299.4584634312
3.29590452285,-13721.2036568265
4.91709114792,-7654.86747692267
5.00474070295,-13349.4816553399
3.13585452636,-8412.77131486308
4.30871336668,-9283.67131401638
3.00377043759,42409738.9894778
3.41629180991,-9525.59844608717
2.94255304002,-14155.301668567
4.21073171297,-14178.9421296324
5.51575447309,-12409.2936862568
3.06706741483,-14597.0176979673
3.66328663378,-11703.2194585479
4.5157514061,-13662.5965686931
7.87600721651,-10916.5804635653
3.37300306045,-9877.1740057691
4.0604286267,-9605.52600602651
3.11332516316,-12981.7471956864
4.08474409459,-12093.3834082278
5.64446297819,-15741.7352837582
4.41115714292,-11759.652436515
5.53225101285,-12881.3376135183
2.90701720951,-13551.1764592908
4.05319063372,-12821.4041224892
4.35555822639,-9960.32819816468
3.65611488611,-12408.6466389327
5.47287422655,-7786.8270130807505
4.42108581626,-14654.6187836434
5.81203708698,-9395.25721741631
2.73281346744,-14948.7548392806
7.61902523671,-9976.01881470276
5.01906614295,-7957.25304932216
5.32613899828,-15865.733634599
7.91587389575,-11234.3316649974
3.70894535853,-15822.1474479397
3.62421942917,-9757.49292062216
5.5397396946,-15065.8930030448
4.53734614025,-11065.3197025381
3.32273349331,-15284.9379599041
3.52205183361,-13467.8325195685
5.0751544423,-11580.8973053019
2.9284850609,-14195.6593903499
3.48525679716,112824.485919013
4.08823219981,-11670.0940496682
4.39753166063,-16161.0406792108
2.93336641926,-5554.25590007851
6.27733755493,-12492.5553137685
7.91710271601,-10769.6206566499
3.46319198966,-13417.6542537118
3.70161916225,-12108.8471121896
3.06556436846,-12903.7057000099
2.91702495883,-14755.7128223228
3.16316359254,-10409.5815544157
3.7951643906,-12207.1445821915
3.38704689806,-12500.1001123927
3.28513752047,-12923.5244803348
8.15539576385,-13752.4239626308
4.26122278496,-11028.7848393465
7.9260359934,-10977.210428547
4.193415127,-15114.0894808762
2.81157885534,-8808.27176984668
3.67582587582,-11339.4974424348
6.12614756497,-10872.5499033351
7.41777661166,-9723.92919270669
3.7221138718,-13922.1046158281
2.71495491364,-17195.7351019341
7.65068718136,-6773.82867913106
5.20623243882,-17715.3663901442
3.04126919858,-14422.2822622423
4.49112525792,-13270.3746499741
3.59324396221,-10920.2270725196
5.27554661148,-2115.74092048959
3.28532797471,-13349.3801255214
3.23460928764,10109289.4071983
3.23360297749,-13938.3399923023
3.20091205974,-13432.0199004327
7.1720697273,-9779.80187979022
7.89943965545,-8871.19566115461
3.80839990671,-15068.7922777283
7.88759696917,-12087.4430061043
3.35160760534,-11392.84354525
3.04134306225,-10747.3309265047
3.23524909504,-10435.1185195179
7.85150087747,-15480.5391573081
3.05447491736,-10954.0171307409
4.16851556407,-10124.9520842369
2.84718875827,-6273.910876559809
3.12766640847,-7810.97888816825
3.24219743346,-12603.4506174758
8.01041311015,-11234.1432866485
3.94018870929,-8375.80681118513
2.96772602713,-12570.29219054
3.22274363516,-6681.98962152936
3.78450375896,-11746.3138807471
3.76364277348,-10602.5741728643
2.96715729087,-10658.9254831655
3.29755348943,-10036.2506503611
4.06303059913,-10157.8562314086
4.65432483724,-10212.943147886
3.40557898685,-15170.7702905085
3.11013722429,-12192.7876392177
3.15272689756,-13969.5858302188
2.7401979608,-12665.3775594777
3.39974725906,-16342.5317099336
8.15170953225,2134.60355011511
3.09647258579,-9042.66227228185
7.44776580629,-14002.5624145559
3.19881694052,-12109.2572358015
7.71009635453,2393239.63850478
2.70737961142,-15153.5750830335
6.23092195934,-9203.22323869949
4.36854318456,-13216.8294194624
5.03156349454,-9354.79013103603
3.83340953242,-13908.7789242469
4.68887108334,-8394.19014538933
7.7266513259,-13833.6233406687
3.59185802435,-10568.887520186
5.80645043567,-7908.2837458521
3.4665414922,-11989.966264937
2.93610187134,-11804.4789214521
3.6528926854,-11132.7395323012
5.50507703171,-10527.6039551202
3.85699029777,-11089.138848295
7.72417464212,-4774.16090500131
7.61993628781,-3214.88343798756
2.56456654818,-10953.4532491518
3.2191184254,-10769.4524580569
4.71231148659,-10243.7272621881
7.81033288604,-11565.0703159358
3.93698116563,-12287.6459936948
3.42526447271,-12355.370726052
4.65586329882,-11911.7110056837
4.44259764598,-10756.7363185541
3.28807401944,-13654.2868049344
3.84613307246,-14813.3837544099
3.57167928824,-13412.5087672298
6.12143484983,-15333.2732093312
7.68689977698,-11432.4902136648
3.44989378545,-11790.6774827303
3.85391249584,-10467.2935998876
3.91168123964,-11647.1849455237
4.64975164078,-9751.37329551942
4.6972385103,-10832.2643724594
3.69333454029,3047377515.85491
5.24388706667,-12054.0760128745
5.17295998278,-8984.06019979852
3.99705870693,-11090.0678449673
3.59605853636,-11153.6647783471
7.56837875666,-14604.1492076826
7.86394238708,-9769.35436304891
3.85575966663,-12228.6275356965
3.41927116197,-8260.60922704338
3.04664906587,-13916.8393337746
3.83658486504,4140333.71866387
2.99346109819,-10626.1392139635
7.76601460546,-12117.0293432064
3.0994873269,-16311.2873424452
2.91367480942,-15168.8733938869
2.98806924453,-11654.1119533043
3.34082473905,-11832.1413523062
4.98907456172,-11594.1883341115
